Band Name,Country,Style(s),Submitted by,Encyclopaedia URL,Listen,Comments
Windhand,US,Doom,Wayne,http://www.metal-archives.com/bands/Windhand/3540313433,http://youtu.be/Djlm-slcKhI,Female vocals that I enjoy
Demolition Hammer,US,Thrash,Jordan,http://www.metal-archives.com/bands/Demolition_Hammer/1161,http://www.youtube.com/watch?v=PZhux8pHjkM,Amazing Thrash that no one's ever heard about
Nocte Obducta,Germany,Black,Durham,http://www.metal-archives.com/bands/Nocte_Obducta/4980,https://www.youtube.com/watch?v=ylZMwflY6Jo,
Unleashed,Sweden,Death,Aaron,http://www.metal-archives.com/bands/Unleashed/359,http://www.youtube.com/watch?v=5nsisgGVHaU,Early Swedish death
Aquilus, Australia,Neoclassical Folk,Aaron,http://www.metal-archives.com/bands/Aquilus/99197,https://www.youtube.com/watch?v=GYpLcfcCVnI,Really atmospheric in a non-boring way
Excoriate,Germany,Death,Aaron,http://www.metal-archives.com/bands/Excoriate/38914,http://www.youtube.com/watch?v=bZwvEEYrM78,Fast and raw
Der Weg Einer Freiheit,Germany,Black,Aaron,http://www.metal-archives.com/bands/Der_Weg_einer_Freiheit/3540275159,http://www.youtube.com/watch?v=IoCn37xJxzA,Old school sounding. A lot like Nocte Obducta
Sophicide,Germany,Technical Death,Aaron,http://www.metal-archives.com/bands/Sophicide/3540349410,http://www.youtube.com/watch?v=MfXeuSOcQdw,Screw you Necrophagist these guys still play
Sauron,US,Black/Thrash,Aaron,http://www.metal-archives.com/bands/Sauron/9947,http://www.youtube.com/watch?v=fFQxFnF9k4A,Old style blackened thrash. Think Sodom.
Absu,US,Black/Thrash,Jordan,http://www.metal-archives.com/bands/Absu/41,http://www.youtube.com/watch?v=udX1ZFW1J2I,Technical blackened thrash with incredible drums and occasional bagpipes.
Wormrot,Singapore,Grindcore,Wayne,http://www.metal-archives.com/bands/Wormrot/3540285169,http://www.youtube.com/watch?v=w85-TKhnqqk,3 piece fast angry grindcore from SINGAPORE!
Agrypnie,Germany,Black,Aaron,http://www.metal-archives.com/bands/Agrypnie/32799,http://www.youtube.com/watch?v=1HJssCSxJKo,Members of Nocte Obducta. Melodic black
Sacriphyx,Australia,Death/Thrash/Black,Durham,http://www.metal-archives.com/bands/Sacriphyx/102084,http://www.youtube.com/watch?v=YfNw-5kYgIs,If Varathron and Buckethead had a weird child that only sang about WWI
Nominon,Sweden,Death,Aaron,http://www.metal-archives.com/bands/Nominon/1508,http://www.youtube.com/watch?v=xCQJ0kBYbLc,Old school death
Dismember,Sweden,Death,Durham,http://www.metal-archives.com/bands/Dismember/122,http://www.youtube.com/watch?v=SKKEBuACcVI,Not really obscure but I constantly forget about them. Awesome OSDM
Blood Red Throne,Norway,Death,Aaron,http://www.metal-archives.com/bands/Blood_Red_Throne/,http://www.youtube.com/watch?v=SOSNd_yAwUs,Members of Satyricon playing death metal
Blotted Science,US,Tech Prog,Jordan,http://www.metal-archives.com/bands/Blotted_Science/94384,http://www.youtube.com/watch?v=UJHvzLwec8Y,Technical progressive craziness from that guy that solo'd on Cosmogenesis
Vektor,US,Tech Thrash,Cory,http://www.metal-archives.com/bands/Vektor/87803,http://www.youtube.com/watch?v=xGicoRxP4a4,Tech Prog Sci-Fi Thrash. Yeah.
Xanthochroid,US,Epic Black Metal,Phil,http://www.metal-archives.com/bands/Xanthochroid/3540337897,http://www.youtube.com/watch?v=FioQxFyfbAQ,SoCal Emperor
Terrorizer,US,Grind,Jordan,http://www.metal-archives.com/bands/Terrorizer/1022,http://www.youtube.com/watch?v=gd3HTU2a2mA,Awesome early US Grindcore/Deathgrind. They recorded and mixed this album in 8 hours.
Skraeckoedlan,Sweden,Stoner Metal,Phil,http://www.metal-archives.com/bands/Skraeckoedlan/,http://www.youtube.com/watch?v=BZjetyYqWA4,the bands name means 'horror lizard' which is homage to a fictional beast that is thawed from the icecaps and destroys everything.  um yes please.
Uncle Acid and the Deadbeats,UK,Psychedelic Rock/Doom Metal,Phil,http://www.metal-archives.com/bands/Uncle_Acid_and_the_Deadbeats/,http://www.youtube.com/watch?v=YjO5PuXJO48,tttooooallly freaking out mannn
Ice Dragon,US,Stoner/PsychRock,Phil,http://www.metal-archives.com/bands/Ice_Dragon/,http://www.youtube.com/watch?v=ntMKFemmL_Y,folky wizard stoner metal with some sweet flutes
Exivious,Netherlandsm,Jazz Prog Death,Phil,http://www.metal-archives.com/bands/exivious/,http://www.youtube.com/watch?v=pWyEY4oKIOs,very much like Cynic so get your sunglasses and ride the sonic soundscapes
Vuvr,Czech Republic,Jazz Death,Phil,http://www.metal-archives.com/bands/Vuvr/,http://www.youtube.com/watch?v=S4vUIvWCDyY,probably have hear these guys but shits good and i need to remember this so i dont forget it again
Blood Ceremony,Cananda,Psych Doom,Phil,http://www.metal-archives.com/bands/Blood_Ceremony/,http://www.youtube.com/watch?v=U6oxn82GAcQ,hot girl lead who is really into occult witchery and plays a flute
Cormorant,US,ProgBlackFolk,Jordan,http://www.metal-archives.com/bands/Cormorant/104839,http://grooveshark.com/#!/album/Metazoa/5093111,This album is a journey. Pick an appropriate day and listen through
Christian Mistress,US,Heavy Metal,Phil,http://www.metal-archives.com/bands/Christian_Mistress/3540277964,http://www.youtube.com/watch?v=s8lD5ZRpBnE,good heavy metal with a girl singer who sounds like she smokes too much lol
Okera,Australia MATE,Melodic Death/Doom Metal,Phil,http://www.metal-archives.com/bands/Okera/3540331033,http://www.youtube.com/watch?v=DlwQhKTYirs,sweet top gun melodies with deathy muppet vocals.  thanks reddit.
Grobschnitt,DE,Progressive Rock,Phil,http://en.wikipedia.org/wiki/Grobschnitt,http://www.youtube.com/watch?v=3c7irW0-9xo,listening is like getting tickled by a german heshen from the 70s
Melechesh,Israel,Black,Jordan,http://www.metal-archives.com/bands/Melechesh/424,http://www.youtube.com/watch?v=qyuCMpGjjcY,Mesopotamian Metal. A kvlt look at the old Middle East.
Nero Di Marte,Italy,Atmospheric?/Progressive,Josh,http://www.metal-archives.com/bands/Nero_di_Marte/3540356029,http://youtu.be/hGX_iRwCAno,Opened for Origin in Toronto. Reminded me of Neurosisif Neurosis wrote lullabies.
Mithotyn,Sweden,Black/Folk,Jordan,http://www.metal-archives.com/bands/Mithotyn/364,https://www.youtube.com/watch?v=T-a40HAK4_s,Awesome earlier darker project from the guys behind Falconer.
Cascus,US,Progressive Death Metal,Phil,http://www.metal-archives.com/bands/Cascus/3540367050,https://www.youtube.com/watch?v=Eza9A5t1HDo,
Ildra,United Kingdom,Pagan Black Metal,Jordan,http://www.metal-archives.com/bands/Ildra/28826,https://www.youtube.com/watch?v=uaHtNwZ6nFU,Ancient war poems sung in Old English
Odroerir,Germany,Folk Metal,Jordan,http://www.metal-archives.com/bands/Odroerir/6932,Sing us a song of the old gods.
